Order_new,ID,Question,Condition,Topic,Value,分類後
1,1,Q1,2,彼女の皮肉は,ジャックナイフのようだ,名詞直喩
2,2,Q1,2,彼女の皮肉は,冗談ではすまされない,字義
3,3,Q1,2,彼女の皮肉は,針のようだ,名詞直喩
4,4,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
5,5,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
6,6,Q1,3,彼女の皮肉は,凶器です,名詞隠喩
7,7,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
8,8,Q1,2,彼女の皮肉は,ナイフのようだ。,名詞直喩
9,9,Q1,3,彼女の皮肉は,悪い意味で相手の心に残る,字義
10,10,Q1,3,彼女の皮肉は,鋭利な刃物だ,名詞隠喩
11,11,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
12,12,Q1,1,彼女の皮肉は,刃のように刺してくる,その他直喩
13,13,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
14,14,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
15,15,Q1,1,彼女の皮肉は,切れ味がある,その他隠喩
16,16,Q1,1,彼女の皮肉は,とげがある,その他隠喩
17,17,Q1,3,彼女の皮肉は,ナイフのようだ,名詞直喩
18,18,Q1,2,彼女の皮肉は,人をびっくりさせるが素晴らしい,字義
19,19,Q1,3,彼女の皮肉は,本当にキツイ。,字義
20,20,Q1,3,彼女の皮肉は,きつい,字義
21,21,Q1,3,彼女の皮肉は,鋭い刃物のようだ,名詞直喩
22,22,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
23,23,Q1,3,彼女の皮肉は,攻撃的だ,字義
24,24,Q1,3,彼女の皮肉は,キツい,字義
25,25,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
26,26,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
27,27,Q1,3,彼女の皮肉は,鋭い刃だ,名詞隠喩
28,28,Q1,1,彼女の皮肉は,人を貶す,字義
29,29,Q1,2,彼女の皮肉は,強烈だ,字義
30,30,Q1,1,彼女の皮肉は,人を悲しませる,字義
31,31,Q1,3,彼女の皮肉は,ナイフのようだ,名詞直喩
32,32,Q1,2,彼女の皮肉は,刃のようだ,名詞直喩
33,33,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
34,34,Q1,3,彼女の皮肉は,針のように鋭い,その他直喩
35,35,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
36,36,Q1,3,彼女の皮肉は,陰湿で不愉快だ,字義
37,37,Q1,2,彼女の皮肉は,辛くそして痛いほど人を傷つける,その他隠喩
38,38,Q1,3,彼女の皮肉は,ナイフのようだ,名詞直喩
39,39,Q1,1,彼女の皮肉は,メスのようだ,名詞直喩
40,40,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
41,41,Q1,3,彼女の皮肉は,ナイフのようだ。,名詞直喩
42,42,Q1,2,彼女の皮肉は,鋭利だ,その他隠喩
43,43,Q1,1,彼女の皮肉は,きつい,字義
44,44,Q1,2,彼女の皮肉は,嫌な気持ちにさせる。,字義
45,45,Q1,2,彼女の皮肉は,無神経で、心をえぐる,その他隠喩
46,46,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
47,47,Q1,1,彼女の皮肉は,暴力だ,名詞隠喩
48,48,Q1,1,彼女の皮肉は,鋭い,その他隠喩
49,49,Q1,1,彼女の皮肉は,暴力だ,名詞隠喩
50,50,Q1,1,彼女の皮肉は,兵器のようだ,名詞直喩
51,51,Q1,1,彼女の皮肉は,鋭い,その他隠喩
52,52,Q1,3,彼女の皮肉は,心の痛手を負う,その他隠喩
53,53,Q1,3,彼女の皮肉は,猛吹雪のようだ,名詞直喩
54,54,Q1,2,彼女の皮肉は,無神経で歯に衣着せない,その他隠喩
55,55,Q1,3,彼女の皮肉は,人をネガティブにさせる,字義
56,56,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
57,57,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
58,58,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
59,59,Q1,2,彼女の皮肉は,とてもひどすぎる,字義
60,60,Q1,3,彼女の皮肉は,人を気遣わないトゲトゲしさがある,その他隠喩
61,61,Q1,1,彼女の皮肉は,人にダメージを与える,その他隠喩
62,62,Q1,2,彼女の皮肉は,心を傷つける,その他隠喩
63,63,Q1,3,彼女の皮肉は,バラのようだ,名詞直喩
64,64,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
65,65,Q1,3,彼女の皮肉は,ナイフのようだ,名詞直喩
66,66,Q1,1,彼女の皮肉は,ナイフだ,名詞隠喩
67,67,Q1,2,彼女の皮肉は,人を攻撃して、厳しい,字義
68,68,Q1,2,彼女の皮肉は,ナイフのようだ。,名詞直喩
69,69,Q1,2,彼女の皮肉は,ナイフのようだ。,名詞直喩
70,70,Q1,2,彼女の皮肉は,冷たい刃のようだ,名詞直喩
71,71,Q1,3,彼女の皮肉は,ナイフのようだ,名詞直喩
72,72,Q1,3,彼女の皮肉は,言葉のナイフで人を痛めつける。,その他隠喩
73,73,Q1,1,彼女の皮肉は,害悪だ,字義
74,74,Q1,1,彼女の皮肉は,辛辣だ,字義
75,75,Q1,3,彼女の皮肉は,きつ過ぎる,字義
76,76,Q1,2,彼女の皮肉は,人を落ち込ませ、悲しませる,字義
77,77,Q1,3,彼女の皮肉は,人を悲しませ、酷く、心が苦しくなる,字義
78,78,Q1,2,彼女の皮肉は,切れ味のよいナイフのようだ,名詞直喩
79,79,Q1,1,彼女の皮肉は,気分を悪くする,字義
80,80,Q1,2,彼女の皮肉は,とげがあり相手を悲しませる,その他隠喩
81,81,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
82,82,Q1,3,彼女の皮肉は,人を不愉快にさせ、心に大きなダメージを与える,その他隠喩
83,83,Q1,2,彼女の皮肉は,どぎつい,字義
84,84,Q1,3,彼女の皮肉は,暴力的で、ナイフのように尖って、精神をぼろぼろにする,その他直喩
85,85,Q1,1,彼女の皮肉は,ナイフだ,名詞隠喩
86,86,Q1,2,彼女の皮肉は,的を得ている,その他隠喩
87,87,Q1,2,彼女の皮肉は,棘のようだ,名詞直喩
88,88,Q1,3,彼女の皮肉は,凶器である,名詞隠喩
89,89,Q1,2,彼女の皮肉は,的を得ていて、人を苦しめる,その他隠喩
90,90,Q1,1,彼女の皮肉は,突き刺さる,その他隠喩
91,91,Q1,2,彼女の皮肉は,まるでナイフだ,名詞直喩
92,92,Q1,1,彼女の皮肉は,刃物だ,名詞隠喩
93,93,Q1,1,彼女の皮肉は,攻撃的だ,字義
94,94,Q1,3,彼女の皮肉は,直球で飛んでくる,その他隠喩
95,95,Q1,3,彼女の皮肉は,棘のようだ,名詞直喩
96,96,Q1,2,彼女の皮肉は,突き刺さる,その他隠喩
97,97,Q1,3,彼女の皮肉は,人に対し痛烈で、的を得ているため、胸にのしかかる,その他隠喩
98,98,Q1,3,彼女の皮肉は,バラのとげのよう,名詞直喩
99,99,Q1,3,彼女の皮肉は,人の心を壊す,その他隠喩
100,100,Q1,3,彼女の皮肉は,ナイフのようだ,名詞直喩
101,101,Q1,2,彼女の皮肉は,的を得ている,その他隠喩
102,102,Q1,3,彼女の皮肉は,殺伐としていて、鋭利な刃物で、心を抉る,その他隠喩
103,103,Q1,2,彼女の皮肉は,心を害し節度を越えている,字義
104,104,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
105,105,Q1,2,彼女の皮肉は,ナイフのようだ,名詞直喩
106,106,Q1,3,彼女の皮肉は,ナイフのようにとがり、突く,その他直喩
107,107,Q1,1,彼女の皮肉は,凶器のようだ,名詞直喩
108,108,Q1,1,彼女の皮肉は,ナイフのようだ,名詞直喩
109,109,Q1,1,彼女の皮肉は,相手を侮辱する,字義
110,111,Q1,1,彼女の皮肉は,キツイ,字義
