RandOrder,ID,Question,Order,Condition,Topic,Value,分類後
1,73,Q1,A,1,この雑巾は,トイレのようだ,名詞直喩
2,11,Q1,A,3,この雑巾は,ゴミよりもひどい,その他直喩
3,136,Q1,B,1,この雑巾は,まな板のようだ,名詞直喩
4,96,Q1,A,2,この雑巾は,長いこと使われた交換寸前のものだ,字義
5,20,Q1,B,2,この雑巾は,ごわごわして、黒くなっている,字義
6,103,Q1,A,2,この雑巾は,悪臭を放ち、汚れている,字義
7,18,Q1,A,3,この雑巾は,どぶのようだ,名詞直喩
8,108,Q1,B,1,この雑巾は,石みたいだ,名詞直喩
9,76,Q1,B,1,この雑巾は,柔らかくない,字義
10,79,Q1,B,2,この雑巾は,ごつくて、不衛生,字義
11,86,Q1,B,3,この雑巾は,下水管のようだ,名詞直喩
12,58,Q1,B,3,この雑巾は,石のようで、触ることを躊躇するような様子で、鼻をつまみたくなるようなにおいを漂わせている,その他直喩
13,10,Q1,B,3,この雑巾は,汚れている,字義
14,67,Q1,A,2,この雑巾は,古びている,字義
15,75,Q1,A,3,この雑巾は,コールタールだ,名詞隠喩
16,135,Q1,B,1,この雑巾は,ごわごわする,字義
17,54,Q1,B,2,この雑巾は,古びている,字義
18,8,Q1,A,3,この雑巾は,使い物にならない,字義
19,40,Q1,A,1,この雑巾は,嫌なにおいだ,字義
20,13,Q1,B,3,この雑巾は,洗っていない,字義
21,61,Q1,A,1,この雑巾は,嫌なにおいがする,字義
22,94,Q1,B,2,この雑巾は,使えない,字義
23,29,Q1,A,2,この雑巾は,ゴミ同然だ,名詞直喩
24,46,Q1,A,1,この雑巾は,息を止めたくなる,字義
25,63,Q10,B,3,彼の唇（くちびる）は,気持ち悪い爬虫類のようだ,名詞直喩
26,98,Q10,B,2,彼の唇（くちびる）は,潤っていて、柔らかそうだ。,字義
27,83,Q10,A,1,彼の唇（くちびる）は,不快だ,字義
28,56,Q10,A,3,彼の唇（くちびる）は,アンコウの唇のようだ,名詞直喩
29,84,Q10,B,3,彼の唇（くちびる）は,タラコだ,名詞隠喩
30,43,Q10,A,1,彼の唇（くちびる）は,ヒルのようだ,名詞直喩
31,57,Q10,A,2,彼の唇（くちびる）は,明太子のようだ,名詞直喩
32,22,Q10,A,2,彼の唇（くちびる）は,みにくい,字義
33,50,Q10,B,1,彼の唇（くちびる）は,梅雨のようだ,名詞直喩
34,38,Q10,A,2,彼の唇（くちびる）は,醜く大きい,字義
35,52,Q10,B,2,彼の唇（くちびる）は,厚揚げのようだ,名詞直喩
36,45,Q10,B,3,彼の唇（くちびる）は,ぬらぬら光ったナメクジのようだ,名詞直喩
37,35,Q10,B,1,彼の唇（くちびる）は,潤っている。,字義
38,8,Q10,A,3,彼の唇（くちびる）は,受け入れられないものだ,字義
39,31,Q10,B,2,彼の唇（くちびる）は,潤いがありセクシーだ,字義
40,101,Q10,B,1,彼の唇（くちびる）は,潤いがある,字義
41,23,Q10,A,3,彼の唇（くちびる）は,見にくくて臭い,字義
42,6,Q10,B,1,彼の唇（くちびる）は,汗ばんでいる,字義
43,41,Q10,B,3,彼の唇（くちびる）は,なめくじのようだ,名詞直喩
44,90,Q10,A,1,彼の唇（くちびる）は,生理的に寄せ付けない,字義
45,72,Q10,A,1,彼の唇（くちびる）は,不快だ。,字義
46,34,Q10,A,2,彼の唇（くちびる）は,不気味だ。,字義
47,99,Q10,A,3,彼の唇（くちびる）は,気持ちが悪い,字義
48,94,Q10,B,2,彼の唇（くちびる）は,乾いていない,字義
49,50,Q11,B,2,彼女の笑顔は,太陽のようで、まぶしい,その他直喩
50,44,Q11,B,1,彼女の笑顔は,人々の目を引く,その他隠喩
51,55,Q11,A,2,彼女の笑顔は,花のようだ,名詞直喩
52,15,Q11,A,2,彼女の笑顔は,太陽のようだ,名詞直喩
53,124,Q11,B,2,彼女の笑顔は,弾けるようで、かわいい,その他直喩
54,65,Q11,A,3,彼女の笑顔は,大輪の花が咲いているようだ,その他直喩
55,97,Q11,A,1,彼女の笑顔は,真珠のようだ,名詞直喩
56,58,Q11,B,1,彼女の笑顔は,花が咲くようだ,その他直喩
57,28,Q11,A,2,彼女の笑顔は,宝石だ,名詞隠喩
58,10,Q11,B,1,彼女の笑顔は,自然だ,字義
59,8,Q11,A,1,彼女の笑顔は,魅力的だ,字義
60,32,Q11,B,3,彼女の笑顔は,王女にこそ相応しい,字義
61,49,Q11,B,3,彼女の笑顔は,満開の花のようだ,名詞直喩
62,96,Q11,A,3,彼女の笑顔は,常に弾けている,その他隠喩
63,107,Q11,A,2,彼女の笑顔は,素敵で、眩しい,その他隠喩
64,76,Q11,B,2,彼女の笑顔は,陽気だ。,字義
65,77,Q11,A,1,彼女の笑顔は,色彩豊かだ,その他隠喩
66,24,Q11,A,1,彼女の笑顔は,バラのようだ,名詞直喩
